"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"5","a9888","y9888","l9888","0.429817228345596","-0.0389118996353904","0.145586293136514","index.data$a9888* (-1)+index.data$y9888*(-0.0389118996353904)+index.data$l9888*(0.145586293136514)","20140101T20151231"
"12","a9888","m9888","p9888","0.42512782285423","0.278177297059783","0.0952262183552064","index.data$a9888* (-1)+index.data$m9888*(0.278177297059783)+index.data$p9888*(0.0952262183552064)","20140101T20151231"
"4","a9888","y9888","TA888","0.41846220776025","-0.0681738001434238","0.196122952185477","index.data$a9888* (-1)+index.data$y9888*(-0.0681738001434238)+index.data$TA888*(0.196122952185477)","20140101T20151231"
"50","m9888","c9888","SR888","0.417272202691426","0.27821703540352","-0.547492611339483","index.data$m9888* (-1)+index.data$c9888*(0.27821703540352)+index.data$SR888*(-0.547492611339483)","20140101T20151231"
"80","SR888","p9888","v9888","0.392416101717095","-0.186667439058986","-0.297803467299223","index.data$SR888* (-1)+index.data$p9888*(-0.186667439058986)+index.data$v9888*(-0.297803467299223)","20140101T20151231"
"79","SR888","l9888","v9888","0.378247846733991","0.0639960393312501","-0.626244563348501","index.data$SR888* (-1)+index.data$l9888*(0.0639960393312501)+index.data$v9888*(-0.626244563348501)","20140101T20151231"
"69","c9888","TA888","l9888","0.366583049223326","-0.141793258597298","0.200477474300774","index.data$c9888* (-1)+index.data$TA888*(-0.141793258597298)+index.data$l9888*(0.200477474300774)","20140101T20151231"
"78","SR888","l9888","p9888","0.359174443315318","-0.0387035560947525","-0.338993670502555","index.data$SR888* (-1)+index.data$l9888*(-0.0387035560947525)+index.data$p9888*(-0.338993670502555)","20140101T20151231"
"66","c9888","SR888","l9888","0.342154534970932","-0.125910348364162","0.0756172562152043","index.data$c9888* (-1)+index.data$SR888*(-0.125910348364162)+index.data$l9888*(0.0756172562152043)","20140101T20151231"
"72","c9888","l9888","p9888","0.310967137329927","0.0741532982054355","0.0585045898644616","index.data$c9888* (-1)+index.data$l9888*(0.0741532982054355)+index.data$p9888*(0.0585045898644616)","20140101T20151231"
"67","c9888","SR888","p9888","0.295513360513671","-0.13230057451017","0.132642951620317","index.data$c9888* (-1)+index.data$SR888*(-0.13230057451017)+index.data$p9888*(0.132642951620317)","20140101T20151231"
"35","y9888","c9888","SR888","0.273154819211174","0.238328737169556","-0.652649697913557","index.data$y9888* (-1)+index.data$c9888*(0.238328737169556)+index.data$SR888*(-0.652649697913557)","20140101T20151231"
"70","c9888","TA888","p9888","0.258180720638442","-0.015453203071594","0.207595608595327","index.data$c9888* (-1)+index.data$TA888*(-0.015453203071594)+index.data$p9888*(0.207595608595327)","20140101T20151231"
"65","c9888","SR888","TA888","0.23106588680471","-0.183985855443358","0.0411406923997186","index.data$c9888* (-1)+index.data$SR888*(-0.183985855443358)+index.data$TA888*(0.0411406923997186)","20140101T20151231"
"45","y9888","TA888","p9888","0.921482798598435","0.328621530210969","0.673584776255694","index.data$y9888* (-1)+index.data$TA888*(0.328621530210969)+index.data$p9888*(0.673584776255694)","20130101T20151231"
"42","y9888","SR888","p9888","0.895460750175617","0.501935179456251","1.28426717988823","index.data$y9888* (-1)+index.data$SR888*(0.501935179456251)+index.data$p9888*(1.28426717988823)","20130101T20151231"
"83","TA888","p9888","v9888","0.893853568742676","0.478157745816091","1.59252189515155","index.data$TA888* (-1)+index.data$p9888*(0.478157745816091)+index.data$v9888*(1.59252189515155)","20130101T20151231"
"40","y9888","SR888","TA888","0.881765026501254","0.426953095316118","0.636441124023388","index.data$y9888* (-1)+index.data$SR888*(0.426953095316118)+index.data$TA888*(0.636441124023388)","20130101T20151231"
"49","y9888","p9888","v9888","0.879247249753284","0.933490953488461","0.390600792015675","index.data$y9888* (-1)+index.data$p9888*(0.933490953488461)+index.data$v9888*(0.390600792015675)","20130101T20151231"
"82","TA888","l9888","v9888","0.878318119550343","0.0755885591686423","1.91589037602542","index.data$TA888* (-1)+index.data$l9888*(0.0755885591686423)+index.data$v9888*(1.91589037602542)","20130101T20151231"
"38","y9888","c9888","p9888","0.876187753473288","-0.774940927622861","1.34492599240004","index.data$y9888* (-1)+index.data$c9888*(-0.774940927622861)+index.data$p9888*(1.34492599240004)","20130101T20151231"
"44","y9888","TA888","l9888","0.864236993510095","0.709068690663852","-0.133691638455608","index.data$y9888* (-1)+index.data$TA888*(0.709068690663852)+index.data$l9888*(-0.133691638455608)","20130101T20151231"
"47","y9888","l9888","p9888","0.861185859051621","-0.0690678446852935","1.32545354358347","index.data$y9888* (-1)+index.data$l9888*(-0.0690678446852935)+index.data$p9888*(1.32545354358347)","20130101T20151231"
"33","y9888","m9888","p9888","0.859347399300763","0.127429533538387","1.17948529697977","index.data$y9888* (-1)+index.data$m9888*(0.127429533538387)+index.data$p9888*(1.17948529697977)","20130101T20151231"
"31","y9888","m9888","TA888","0.855161003938515","0.0944747196108806","0.597774923300491","index.data$y9888* (-1)+index.data$m9888*(0.0944747196108806)+index.data$TA888*(0.597774923300491)","20130101T20151231"
"36","y9888","c9888","TA888","0.855092572922869","-0.12129818719823","0.625893083774766","index.data$y9888* (-1)+index.data$c9888*(-0.12129818719823)+index.data$TA888*(0.625893083774766)","20130101T20151231"
"46","y9888","TA888","v9888","0.855006279172787","0.65518277148738","-0.0838275503296539","index.data$y9888* (-1)+index.data$TA888*(0.65518277148738)+index.data$v9888*(-0.0838275503296539)","20130101T20151231"
"81","TA888","l9888","p9888","0.786200967863058","0.422104377817598","1.16401694571694","index.data$TA888* (-1)+index.data$l9888*(0.422104377817598)+index.data$p9888*(1.16401694571694)","20130101T20151231"
"62","m9888","l9888","p9888","0.785214087495894","0.213322254056557","0.166340142540842","index.data$m9888* (-1)+index.data$l9888*(0.213322254056557)+index.data$p9888*(0.166340142540842)","20130101T20151231"
"43","y9888","SR888","v9888","0.782597443197719","0.557626273981801","1.31663305951327","index.data$y9888* (-1)+index.data$SR888*(0.557626273981801)+index.data$v9888*(1.31663305951327)","20130101T20151231"
"59","m9888","TA888","l9888","0.779449305038263","0.0809353555395233","0.213007834775302","index.data$m9888* (-1)+index.data$TA888*(0.0809353555395233)+index.data$l9888*(0.213007834775302)","20130101T20151231"
"63","m9888","l9888","v9888","0.774453627488777","0.209856720062712","0.17495464260588","index.data$m9888* (-1)+index.data$l9888*(0.209856720062712)+index.data$v9888*(0.17495464260588)","20130101T20151231"
"39","y9888","c9888","v9888","0.766243512301423","-1.03899037566112","1.42678111902861","index.data$y9888* (-1)+index.data$c9888*(-1.03899037566112)+index.data$v9888*(1.42678111902861)","20130101T20151231"
"56","m9888","SR888","l9888","0.758038992020023","-0.0993952588796667","0.280275725062577","index.data$m9888* (-1)+index.data$SR888*(-0.0993952588796667)+index.data$l9888*(0.280275725062577)","20130101T20151231"
"52","m9888","c9888","l9888","0.753470032617611","-0.134134688249742","0.30330805787304","index.data$m9888* (-1)+index.data$c9888*(-0.134134688249742)+index.data$l9888*(0.30330805787304)","20130101T20151231"
"34","y9888","m9888","v9888","0.746427710476307","0.38998717816003","1.0539136045344","index.data$y9888* (-1)+index.data$m9888*(0.38998717816003)+index.data$v9888*(1.0539136045344)","20130101T20151231"
"48","y9888","l9888","v9888","0.741638639246216","-0.097190256802335","1.39518668245132","index.data$y9888* (-1)+index.data$l9888*(-0.097190256802335)+index.data$v9888*(1.39518668245132)","20130101T20151231"
"84","l9888","p9888","v9888","0.727324544225014","0.398564242638507","1.1594776110379","index.data$l9888* (-1)+index.data$p9888*(0.398564242638507)+index.data$v9888*(1.1594776110379)","20130101T20151231"
"15","a9888","c9888","TA888","0.714657760851028","0.543057411778871","0.122993144220996","index.data$a9888* (-1)+index.data$c9888*(0.543057411778871)+index.data$TA888*(0.122993144220996)","20130101T20151231"
"55","m9888","SR888","TA888","0.711778261796244","-0.29064064684667","0.212583822774221","index.data$m9888* (-1)+index.data$SR888*(-0.29064064684667)+index.data$TA888*(0.212583822774221)","20130101T20151231"
"58","m9888","SR888","v9888","0.708338983282521","-0.237060637058979","0.465389850784858","index.data$m9888* (-1)+index.data$SR888*(-0.237060637058979)+index.data$v9888*(0.465389850784858)","20130101T20151231"
"64","m9888","p9888","v9888","0.701053673012707","0.205733167834696","0.306275018777872","index.data$m9888* (-1)+index.data$p9888*(0.205733167834696)+index.data$v9888*(0.306275018777872)","20130101T20151231"
"18","a9888","c9888","v9888","0.694494882033704","0.343872741498338","0.289774083525234","index.data$a9888* (-1)+index.data$c9888*(0.343872741498338)+index.data$v9888*(0.289774083525234)","20130101T20151231"
"2","a9888","y9888","c9888","0.690042228611833","0.172153394223005","0.611275300963945","index.data$a9888* (-1)+index.data$y9888*(0.172153394223005)+index.data$c9888*(0.611275300963945)","20130101T20151231"
"57","m9888","SR888","p9888","0.688862448753824","-0.269879645850755","0.416876699528647","index.data$m9888* (-1)+index.data$SR888*(-0.269879645850755)+index.data$p9888*(0.416876699528647)","20130101T20151231"
"30","y9888","m9888","SR888","0.683019254028249","2.1408823345101","0.940917466757593","index.data$y9888* (-1)+index.data$m9888*(2.1408823345101)+index.data$SR888*(0.940917466757593)","20130101T20151231"
"60","m9888","TA888","p9888","0.682193659295057","0.127922207198375","0.223971976238082","index.data$m9888* (-1)+index.data$TA888*(0.127922207198375)+index.data$p9888*(0.223971976238082)","20130101T20151231"
"22","a9888","SR888","v9888","0.681893249181269","-0.118832291727565","0.334441453929208","index.data$a9888* (-1)+index.data$SR888*(-0.118832291727565)+index.data$v9888*(0.334441453929208)","20130101T20151231"
"61","m9888","TA888","v9888","0.673649019991619","0.0870927104600733","0.318109009767513","index.data$m9888* (-1)+index.data$TA888*(0.0870927104600733)+index.data$v9888*(0.318109009767513)","20130101T20151231"
"28","a9888","p9888","v9888","0.67072884938898","0.0811437382111529","0.274849735339943","index.data$a9888* (-1)+index.data$p9888*(0.0811437382111529)+index.data$v9888*(0.274849735339943)","20130101T20151231"
"54","m9888","c9888","v9888","0.66567946374283","-0.159384441772152","0.522594221683146","index.data$m9888* (-1)+index.data$c9888*(-0.159384441772152)+index.data$v9888*(0.522594221683146)","20130101T20151231"
"27","a9888","l9888","v9888","0.664177301307417","-0.0332400546588712","0.399983606395437","index.data$a9888* (-1)+index.data$l9888*(-0.0332400546588712)+index.data$v9888*(0.399983606395437)","20130101T20151231"
