"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"11","a9888","m9888","l9888","0.509100068758851","0.958207932691928","0.0589485336885228","a9888* (-1)+m9888*(0.958207932691928)+l9888*(0.0589485336885228)","2015-01-01T2015-12-31"
"3","a9888","y9888","SR888","0.466104108184152","0.655899589009855","-0.615413168018923","a9888* (-1)+y9888*(0.655899589009855)+SR888*(-0.615413168018923)","2015-01-01T2015-12-31"
"18","a9888","c9888","v9888","0.454595539302667","0.369022393844163","0.155213445583326","a9888* (-1)+c9888*(0.369022393844163)+v9888*(0.155213445583326)","2015-01-01T2015-12-31"
"17","a9888","c9888","p9888","0.440053272235839","0.445558928211608","0.122680077015726","a9888* (-1)+c9888*(0.445558928211608)+p9888*(0.122680077015726)","2015-01-01T2015-12-31"
"2","a9888","y9888","c9888","0.431984460145231","0.0937540432226906","0.522257907998779","a9888* (-1)+y9888*(0.0937540432226906)+c9888*(0.522257907998779)","2015-01-01T2015-12-31"
"16","a9888","c9888","l9888","0.431756494340559","0.484040614003677","0.0270941149939726","a9888* (-1)+c9888*(0.484040614003677)+l9888*(0.0270941149939726)","2015-01-01T2015-12-31"
"15","a9888","c9888","TA888","0.430516285841953","0.510325379340303","0.0451099114711318","a9888* (-1)+c9888*(0.510325379340303)+TA888*(0.0451099114711318)","2015-01-01T2015-12-31"
"31","y9888","m9888","TA888","0.426808649179883","-0.318591767238607","0.35827320634649","y9888* (-1)+m9888*(-0.318591767238607)+TA888*(0.35827320634649)","2015-01-01T2015-12-31"
"59","m9888","TA888","l9888","0.412348806491186","-0.21550853752196","0.176385181390892","m9888* (-1)+TA888*(-0.21550853752196)+l9888*(0.176385181390892)","2015-01-01T2015-12-31"
"28","a9888","p9888","v9888","0.412189132706554","0.197763773154583","0.267488307560544","a9888* (-1)+p9888*(0.197763773154583)+v9888*(0.267488307560544)","2015-01-01T2015-12-31"
"50","m9888","c9888","SR888","0.408183677243992","0.226680247605717","-0.18058128543279","m9888* (-1)+c9888*(0.226680247605717)+SR888*(-0.18058128543279)","2015-01-01T2015-12-31"
"55","m9888","SR888","TA888","0.402297801963059","-0.337918191559558","0.213143336567273","m9888* (-1)+SR888*(-0.337918191559558)+TA888*(0.213143336567273)","2015-01-01T2015-12-31"
"27","a9888","l9888","v9888","0.383733877933134","-0.0639974138035916","0.476149791308599","a9888* (-1)+l9888*(-0.0639974138035916)+v9888*(0.476149791308599)","2015-01-01T2015-12-31"
"25","a9888","TA888","v9888","0.38078758771186","-0.0760861743157171","0.407184292089847","a9888* (-1)+TA888*(-0.0760861743157171)+v9888*(0.407184292089847)","2015-01-01T2015-12-31"
"61","m9888","TA888","v9888","0.378119371865459","-0.17850083024913","0.305643935620937","m9888* (-1)+TA888*(-0.17850083024913)+v9888*(0.305643935620937)","2015-01-01T2015-12-31"
"7","a9888","y9888","v9888","0.37704254999696","0.00660409422368273","0.36443303133487","a9888* (-1)+y9888*(0.00660409422368273)+v9888*(0.36443303133487)","2015-01-01T2015-12-31"
"52","m9888","c9888","l9888","0.376955953639957","0.151491043951879","0.068671140202992","m9888* (-1)+c9888*(0.151491043951879)+l9888*(0.068671140202992)","2015-01-01T2015-12-31"
"53","m9888","c9888","p9888","0.370131530094319","0.400634233311253","-0.154074272435215","m9888* (-1)+c9888*(0.400634233311253)+p9888*(-0.154074272435215)","2015-01-01T2015-12-31"
