"","V1","V2","Rsqure","V4","formula","kurtosis","skewness","period"
"183","m9888","TA888","0.465530618803349","0.199755326857356","m9888* (-1)+TA888*(0.199755326857356)",0.566995680910416,-0.676726327788691,"2012-01-01T2015-12-31"
"114","a9888","y9888","0.404313197713244","0.116993312225776","a9888* (-1)+y9888*(0.116993312225776)",0.138165221406149,0.782234151920784,"2012-01-01T2015-12-31"
"203","m9888","p9888","0.394061887881612","0.216128094010422","m9888* (-1)+p9888*(0.216128094010422)",-0.56587279059977,-0.0950071104935067,"2012-01-01T2015-12-31"
"39","a9888","c9888","0.372091613340252","1.00652258688053","a9888* (-1)+c9888*(1.00652258688053)",0.153991731681922,0.461374662661825,"2012-01-01T2015-12-31"
"293","SR888","p9888","0.361737923511185","0.270577403987581","SR888* (-1)+p9888*(0.270577403987581)",-1.09896716613753,-0.337819169874889,"2012-01-01T2015-12-31"
"63","a9888","l9888","0.342626314988642","0.158447883831472","a9888* (-1)+l9888*(0.158447883831472)",-0.779386351578611,-0.0627091622432099,"2012-01-01T2015-12-31"
"263","c9888","v9888","0.335350429290429","0.146950332223998","c9888* (-1)+v9888*(0.146950332223998)",0.661922890440283,0.186468998805517,"2012-01-01T2015-12-31"
"115","y9888","SR888","0.326354426871273","1.54296754683461","y9888* (-1)+SR888*(1.54296754683461)",-0.517720173542791,0.235987933324111,"2012-01-01T2015-12-31"
"73","a9888","p9888","0.315156271608641","0.125508054394416","a9888* (-1)+p9888*(0.125508054394416)",-0.305371229286648,0.591918190494244,"2012-01-01T2015-12-31"
"243","c9888","l9888","0.287181577093511","0.0879135442985185","c9888* (-1)+l9888*(0.0879135442985185)",0.521165453787171,0.478488504048156,"2012-01-01T2015-12-31"
"233","c9888","TA888","0.193260361996089","0.0506496755408242","c9888* (-1)+TA888*(0.0506496755408242)",1.50629042018396,0.847928838648403,"2012-01-01T2015-12-31"
"163","m9888","c9888","0.169270442001471","1.04546508867755","m9888* (-1)+c9888*(1.04546508867755)",-0.111959888021768,-0.239033952450707,"2012-01-01T2015-12-31"
"253","c9888","p9888","0.168897993159172","0.0556829557757571","c9888* (-1)+p9888*(0.0556829557757571)",1.76156466153306,1.2095737023052,"2012-01-01T2015-12-31"
"343","l9888","p9888","0.168590574553999","0.33911670204624","l9888* (-1)+p9888*(0.33911670204624)",-0.663115465664589,0.103679725464816,"2012-01-01T2015-12-31"
"133","y9888","l9888","0.158620246619121","0.585940231625669","y9888* (-1)+l9888*(0.585940231625669)",-0.877000102394954,-0.74097358831271,"2012-01-01T2015-12-31"
"273","SR888","TA888","0.125980133821795","0.135781554109535","SR888* (-1)+TA888*(0.135781554109535)",-0.588826838572183,-0.507534159082901,"2012-01-01T2015-12-31"
"103","y9888","c9888","0.125945411337429","3.18264120625028","y9888* (-1)+c9888*(3.18264120625028)",-0.8565588290315,-0.26792031411174,"2012-01-01T2015-12-31"
"303","SR888","v9888","0.0958326315115253","0.260832866994426","SR888* (-1)+v9888*(0.260832866994426)",-0.42211962354412,-0.557013538450189,"2012-01-01T2015-12-31"
"283","SR888","l9888","0.0228601090559624","-0.0823571139847122","SR888* (-1)+l9888*(-0.0823571139847122)",1.03758092080425,-0.985411863015893,"2012-01-01T2015-12-31"
"43","a9888","SR888","0.00357015252308334","-0.0296932339707423","a9888* (-1)+SR888*(-0.0296932339707423)",0.439304061684603,0.670022585850415,"2012-01-01T2015-12-31"
"173","m9888","SR888","0.00312194798138266","-0.0427609487912","m9888* (-1)+SR888*(-0.0427609487912)",-0.431576940595867,-0.12024104739131,"2012-01-01T2015-12-31"
"223","c9888","SR888","0.00263883083510476","-0.0154711040133098","c9888* (-1)+SR888*(-0.0154711040133098)",3.50466380735801,2.06910279180355,"2012-01-01T2015-12-31"
